缺陷类型,编号,标题,状态,状态分类,优先级,处理人,负责人
固件缺陷,195862,【主页】主页卡片的快捷控制与UI设计不一致,测试提交,to_do,普通,张世鹏,陈梓雄
固件缺陷,195865,【单位】切换设置单位后，需要重新进入一次页面才会生效,测试提交,to_do,普通,张世鹏,陈梓雄
固件缺陷,195866,【天气】偶现天气数据显示为空白,测试提交,to_do,普通,张世鹏,陈梓雄
固件缺陷,195867,【按键】自定义按键绑定场景，按压自定义按键，未触发绑定场景,测试提交,to_do,普通,罗选东,陈梓雄
固件缺陷,195869,【红外】屏幕控制红外发码异常,测试提交,to_do,较高,马立博,陈梓雄
固件缺陷,195870,【HID】设备管理添加HID，点击配对，设备没有配对状态，在附近也未搜到设备的蓝牙信号,回归通过,done,较高,朱常青,陈梓雄
固件缺陷,195873,【动态】设备动态详情中不应该有“查看详情”,回归通过,done,普通,张世鹏,陈梓雄
固件缺陷,195874,【状态栏】已设置家庭位置，未显示日期信息,回归通过,done,普通,张世鹏,陈梓雄
固件缺陷,195875,【时间】已设置家庭位置为纽约，屏幕状态栏中的时间仍为国区时间,测试提交,to_do,普通,张世鹏,陈梓雄
固件缺陷,195876,【闹钟】12小时制设置闹钟，组件中只有12h设置，无法设置下午时间,回归通过,done,普通,朱常青,陈梓雄
固件缺陷,195877,【日程】切换以往的日程，偶现加载有数据的日历未显示标记,测试提交,to_do,普通,张世鹏,陈梓雄
固件缺陷,195879,【主页】房间导航栏排序不生效,待回归,in_progress,普通,彭玉林,陈梓雄
固件缺陷,195880,【主页】房间进入编辑排序时，卡片有概率显示黑色（正常是灰色）,待回归,in_progress,普通,彭玉林,陈梓雄
固件缺陷,195881,【WiFi】设备频繁离线,待回归,in_progress,普通,朱常青,陈梓雄
固件缺陷,195883,【网关】主页获取不到蓝牙设备IoT状态,测试提交,to_do,普通,彭玉林,王梓帆
固件缺陷,195884,【添加】重新烧录完进入添加配网，在配网页面连接失败（重置设备后，可以添加成功）,测试提交,to_do,普通,朱常青,陈梓雄
固件缺陷,195885,【主页】滑动主页设备卡片，显示异常,待回归,in_progress,普通,彭玉林,陈梓雄
固件缺陷,195886,【状态栏】更改家庭地区后，重新进入二级页也未授时（屏幕时间仍显示之前时区的时间）,测试提交,to_do,普通,张世鹏,陈梓雄
固件缺陷,195887,【控制】音量按键控制显示的侧边栏，点击切换上边图标会有错误提醒,待回归,in_progress,普通,张世鹏,陈梓雄
固件缺陷,195888,【闹钟】闹钟组件样式和UX不一致,测试提交,to_do,普通,邹佳琪,陈梓雄
固件缺陷,195889,【主页】设备重新上电，主页设备显示异常（账号下设备都消失了）,待回归,in_progress,较高,彭玉林,陈梓雄
固件缺陷,195890,【主页】添加HID设备后，主页点击卡片不会弹出控制页面（需要手动刷新页面，才会弹出控制）,待回归,in_progress,普通,彭玉林,陈梓雄
RN缺陷,195844,【设备管理】二级页未显示红外和HID设备管理入口,待评审,in_progress,普通,李冰,陈梓雄
RN缺陷,195871,【HID】设备管理添加HID，点击配对，未进行配对成功，返回显示新增了一个HID设备,非bug,done,普通,李冰,陈梓雄
RN缺陷,195872,【HID】删除HID报错,回归通过,done,普通,李冰,陈梓雄
后台缺陷,195764,【中枢网关】已添加aihub show的情况，在添加aihub，2个都为中枢网关,测试提交,to_do,普通,罗选东,胡晓岚
后台缺陷,195765,【中枢网关】主中枢（aihub）离线，备中枢（aihub show）成为主中枢，从网关显示离线-- feedback：12184,测试提交,to_do,普通,胡晓岚,胡晓岚
后台缺陷,195766,【中枢网关】切换家庭，未上报成为主中枢的topic-- feedback：12188,测试提交,to_do,普通,罗选东,胡晓岚
后台缺陷,195767,【中枢网关】中枢网关已移至其他家庭，依然会上报之前家庭设备的数据,测试提交,to_do,普通,罗选东,胡晓岚
后台缺陷,195768,【中枢网关】路由器断网后，中枢网关和从网关都提示离线,测试提交,to_do,普通,罗选东,胡晓岚
后台缺陷,195770,【中枢网关】主中枢断电后，备中枢显示离线,测试提交,to_do,普通,罗选东,胡晓岚
后台缺陷,195772,【中枢网关】主中枢切换至存在aihunshow 家庭，依然显示为主中枢，应该显示为备中枢,测试提交,to_do,普通,罗选东,胡晓岚
后台缺陷,195796,【中枢网关】网关管理中显示已扫描到蓝牙设备，但是关闭手机蓝牙后，进入meter设置页显示设备连接失败,测试提交,to_do,普通,罗选东,陈娇兰
后台缺陷,195846,【网关】账号下添加bot，网关管理页面未新增个数（扫描不到设备）,测试提交,to_do,普通,罗选东,陈梓雄
后台缺陷,195860,【场景】新增场景、修改场景名称显示图标异常,测试提交,to_do,普通,罗选东,陈梓雄
需求缺陷,195850,【切换家庭】修改设备家庭，未刷新家庭信息,未开始,to_do,普通,邱柔榛,陈梓雄
需求缺陷,195859,【日程】新增日程未在屏幕日程中显示,未开始,to_do,较高,邱柔榛,陈梓雄
需求缺陷,195861,【主页】不是所有的设备都要显示到主页里吧（比如他本身，或者目前无实际功能的设备）,未开始,to_do,普通,邱柔榛,陈梓雄
需求缺陷,195868,【场景】屏幕主页的常用场景与App中的常用场景不一致（屏幕主页显示所有场景）,未开始,to_do,普通,邱柔榛,陈梓雄
硬件缺陷,190165,图纸分析缺陷：L2200不满足6A带载,关闭,done,普通,高开智,高开智
硬件缺陷,193853,VDD_12V动态负载有啸叫,待评审,in_progress,普通,杨翔宇,高开智
硬件缺陷,194359,VDD_5V上电波形0.4V处有台阶、0V有振荡,待评审,in_progress,普通,杨翔宇,高开智
硬件缺陷,194380,VDD_5V动态负载有啸叫,待评审,in_progress,普通,杨翔宇,高开智
硬件缺陷,194592,LCD_TOUCH_3V3动态负载测试过程元器件啸叫,待评审,in_progress,普通,杨翔宇,程方均
硬件缺陷,194596,SYS_3V3上电、下电有台阶,待评审,in_progress,普通,杨翔宇,高开智
硬件缺陷,194597, SYS_3V3动态负载有啸叫,待评审,in_progress,普通,杨翔宇,高开智
硬件缺陷,194609,带载1.5A时，VCC_DDR_B3下降波形存在3ms台阶,待评审,in_progress,普通,杨翔宇,程方均
硬件缺陷,194619,VCC_DDR_B3动态负载时有啸叫,待评审,in_progress,普通,杨翔宇,程方均
硬件缺陷,194725,屏幕背光供电恒流源输出电压超屏规格（偏高）,待评审,in_progress,普通,杨翔宇,高开智
硬件缺陷,194770,VDD_GPU_B2波形测试，U=3V，I=2.5A时下电波形存在400mV回勾,待评审,in_progress,普通,杨翔宇,程方均
硬件缺陷,194771,VDD_GPU_B2动态负载测试时元器件啸叫,待评审,in_progress,普通,杨翔宇,程方均
硬件缺陷,194828,VDDA_0V9_LDO2波形，U=3V，I=0.4A，开启U瞬间时存在1.3ms台阶,待评审,in_progress,普通,杨翔宇,程方均
硬件缺陷,194836,VDDA_0V9_LDO2动态负载，当动态负载频率f=10kHz时存在鸣叫（异响风险）,待评审,in_progress,普通,马薇薇,程方均
硬件缺陷,194865,"VDDA0V9_PMU_LDO3波形，U=3V,I=0.1A的上电波形存在2.8ms台阶",关闭,done,普通,杨翔宇,程方均
硬件缺陷,195219,W1149 AI hub show【专项】【EVT】【第一轮】【wifi吞吐量】1、UDP发送测试为 1.05 Mbits/sec，接收为48.2~52.5 1.05 Mbits/sec，均不满足参考指标>50Mbits/s; 2、TCP发送测试为30.5~34.3Mbits/s，接收为33.3~37.9Mbits/s，均不满足参考指标>50Mbits/s;,待评审,in_progress,较高,杨翔宇,陈娜
硬件缺陷,195739,W1149 AI hub show【专项】【EVT】【第一轮】【EMMC寿命】测试第452次出现中断，不满足参考指标10000次无异常,待评审,in_progress,较高,杨翔宇,陈娜
硬件缺陷,195740," VCCIO_SD_LDO5电压精度,U=3.3V，I=0.4A时输出电压2.724V，＜3.3V±10%",关闭,done,普通,杨翔宇,程方均
硬件缺陷,195741, VCCIO_SD_LDO5动态负载，U1=3.3V，f=5kHz时，电压波动＞±10%,关闭,done,普通,杨翔宇,程方均
硬件缺陷,195742,9 VCC3V3_PMU_LDO6电压精度，U=3.3V，0.4A时输出电压2.784V，低于3.3V±10%； U=3V，带载≥0.1A时输出电压低于3.3V±10%；,下一版本修复,in_progress,普通,杨翔宇,程方均
硬件缺陷,195743,VCC3V3_SW2电压精度测试中，U=3V，带载≥0.55A时输出电压＜3.3V±10%； U=3.3V，带载2.1A时输出电压＜3.3V±10%；,关闭,done,普通,杨翔宇,程方均
硬件缺陷,195744,VCC3V3_SW1最大带载为1.2A，I＞1.2A时无输出电压,关闭,done,普通,杨翔宇,程方均
硬件缺陷,195745,PWR_WIFI_3V3动态负载不符预期：供电5~6V时最大带载：2.25A；供电4~4.5V时最大带载：1.5A（LAYOUT:3A）,待评审,in_progress,普通,杨翔宇,李玲
硬件缺陷,195746,PWR_WIFI_3V3 I关闭下电波形出现超1ms台阶,下一版本修复,in_progress,普通,杨翔宇,李玲
硬件缺陷,195747,PWR_WIFI_3V3 I=2.5A 下电波形出现电压触底回弹200~500mV,待评审,in_progress,普通,杨翔宇,李玲
硬件缺陷,195748,SYS_3V3_WIFI电压精度不符预期：供电3.3V时最大带载：0.5A；供电2.97V时最大带载：0.2A；供电3.63V时最大带载：0.6A（LAYOUT:3A）,下一版本修复,in_progress,普通,杨翔宇,李玲
硬件缺陷,195749,USB2_OTG0_5V电压精度测试，U=5.5V时最大带载为0.9A＜1A,关闭,done,普通,杨翔宇,程方均
硬件缺陷,195750, USB2_OTG0_CC1连接PC时高电平0.71V，不满足2.31-3.6V,关闭,done,普通,杨翔宇,程方均
硬件缺陷,195751,USB2_OTG0_CC2连接PC时0.72V，不满足2.31V-3.6V,关闭,done,普通,杨翔宇,程方均
硬件缺陷,195752,W1149 AI hub show【专项】【EVT】【第一轮】【蓝牙拉距（地下车库）】N52833测试距离120m与AI hub一致（环境极限距离）满足参考指标>120m； AP6212测试距离为85m，AI hub AP6611距离为90m，比AI hub差且不满足参考指标>120m；,待评审,in_progress,较高,杨翔宇,陈娜
硬件缺陷,195753,VDD_CPU纹波43.4mV＞1.025V*3%,下一版本修复,in_progress,普通,杨翔宇,程方均
